# Directed graph
# Simulated Graph
# Nodes: 100; Edges: 9912; k: 5; Generated Cliques: 10000
# FromNodeId	ToNodeId
11	79
46	37
48	35
55	35
51	55
52	37
17	71
20	62
69	4
25	85
43	37
68	11
84	87
57	42
83	91
0	43
52	29
74	61
17	26
34	32
1	96
64	52
41	72
2	24
16	46
76	95
63	52
96	92
72	41
89	74
9	92
84	40
73	22
24	55
93	12
54	92
42	96
49	5
71	88
38	55
46	86
68	48
16	16
78	12
93	6
8	1
14	49
45	36
66	2
55	16
96	48
96	24
77	51
42	55
57	1
50	46
92	62
63	23
41	29
89	2
62	59
29	38
83	36
2	67
27	72
55	62
25	88
46	97
2	99
74	6
83	61
89	94
92	28
39	64
48	97
99	99
79	9
60	83
82	28
22	84
53	27
93	10
89	44
26	78
74	40
64	42
59	99
27	39
45	32
55	69
86	53
87	96
75	21
4	52
24	62
86	68
62	88
67	14
17	47
0	2
97	79
3	88
31	70
98	51
84	15
14	48
61	65
86	72
1	55
0	41
30	23
86	6
87	17
15	21
34	8
85	50
87	52
88	29
84	11
9	39
84	8
14	43
0	18
51	59
82	37
28	26
38	62
4	81
10	44
66	45
36	73
10	37
16	8
19	39
34	89
30	72
30	68
90	71
64	97
67	78
18	28
45	68
59	61
71	2
64	74
59	49
41	26
60	78
36	10
86	43
8	59
72	69
96	40
36	90
79	47
81	26
9	53
69	30
78	32
16	62
18	57
41	70
50	7
90	36
81	81
63	11
12	34
57	95
10	24
15	77
93	67
35	28
31	64
60	44
66	22
3	16
76	47
67	3
96	28
74	1
16	32
6	19
48	72
50	45
29	54
34	19
49	28
53	22
89	30
48	95
29	14
16	92
34	87
24	41
64	45
2	85
94	7
43	30
49	8
54	29
39	18
27	28
62	19
13	33
70	45
16	6
94	74
19	53
56	37
52	88
58	20
0	29
67	93
87	87
98	64
69	61
0	35
30	15
21	73
22	40
59	86
16	84
12	90
30	87
51	9
56	29
46	93
38	17
3	62
21	56
42	70
22	75
69	60
78	7
69	19
3	31
7	71
1	48
54	32
19	50
5	5
39	44
98	67
6	79
12	7
60	23
99	15
48	9
69	48
75	10
67	7
47	55
27	10
82	30
22	29
66	39
27	1
47	72
91	61
6	94
84	38
91	0
39	88
8	0
98	63
60	43
81	43
4	98
81	45
36	81
48	18
41	33
97	13
78	49
84	52
44	98
18	79
32	98
0	59
4	20
76	14
13	48
28	11
95	85
92	13
26	11
92	61
14	46
10	49
43	68
41	22
44	43
43	11
1	29
20	1
67	63
76	80
42	2
72	20
4	53
5	38
58	80
47	14
38	44
37	4
69	8
4	42
29	75
70	16
84	96
12	35
83	76
60	95
37	97
